location_id,country,state,market,region
15,Algeria,Constantine,Africa,Africa
57,Australia,New South Wales,APAC,Oceania
399,Hungary,Budapest,EMEA,EMEA
897,Sweden,Stockholm,EU,North
170,Canada,Ontario,Canada,Canada
665,New Zealand,Auckland,APAC,Oceania
484,Iraq,Ninawa,EMEA,EMEA
756,Philippines,National Capital,APAC,Southeast Asia
1027,United Kingdom,England,EU,North
584,Malaysia,Sarawak,APAC,Southeast Asia
383,Guatemala,Guatemala,LATAM,Central
473,Iran,Yazd,EMEA,EMEA
930,Thailand,Nakhon Ratchasima,APAC,Southeast Asia
468,Iran,Razavi Khorasan,EMEA,EMEA
915,Tanzania,Dar Es Salaam,Africa,Africa
127,Brazil,Parana,LATAM,South
621,Mexico,Yucatán,LATAM,North
254,Cuba,Granma,LATAM,Caribbean
354,France,Rhône-Alpes,EU,Central
115,Brazil,Alagoas,LATAM,South
263,Cuba,Santiago de Cuba,LATAM,Caribbean
1071,United States,Texas,US,Central
538,Japan,Tottori,APAC,North Asia
891,Sudan,Khartoum,Africa,Africa
620,Mexico,Veracruz,LATAM,North
1041,United States,Illinois,US,Central
912,Taiwan,Taipei City,APAC,North Asia
343,France,Ile-de-France,EU,Central
446,Indonesia,Sumatera Barat,APAC,Southeast Asia
1108,Vietnam,Ho Chí Minh City,APAC,Southeast Asia
32,Angola,Luanda,Africa,Africa
202,China,Jilin,APAC,North Asia
1066,United States,Pennsylvania,US,East
1045,United States,Kentucky,US,South
647,Mozambique,Niassa,Africa,Africa
353,France,Provence-Alpes-Côte d'Azur,EU,Central
558,Lebanon,Beirut,EMEA,EMEA
1033,United States,California,US,West
10,Algeria,Alger,Africa,Africa
139,Brazil,São Paulo,LATAM,South
1039,United States,Georgia,US,South
845,Singapore,Singapore,APAC,Southeast Asia
657,Netherlands,Groningen,EU,Central
28,Angola,Benguela,Africa,Africa
213,China,Yunnan,APAC,North Asia
348,France,Midi-Pyrénées,EU,Central
705,Nigeria,Lagos,Africa,Africa
434,Indonesia,Jawa Timur,APAC,Southeast Asia
1110,Vietnam,Kiên Giang,APAC,Southeast Asia
753,Philippines,Calabarzon,APAC,Southeast Asia
59,Australia,Queensland,APAC,Oceania
311,Egypt,Al Qahirah,Africa,Africa
1092,Venezuela,Carabobo,LATAM,South
608,Mexico,México,LATAM,North
191,China,Guangxi,APAC,North Asia
859,South Africa,North-West,Africa,Africa
929,Thailand,Bangkok,APAC,Southeast Asia
432,Indonesia,Jawa Barat,APAC,Southeast Asia
885,Spain,Murcia,EU,South
410,India,Jammu and Kashmir,APAC,Central Asia
951,Turkey,Bursa,EMEA,EMEA
674,New Zealand,Otago,APAC,Oceania
75,Austria,Vienna,EU,Central
1074,United States,Virginia,US,South
503,Italy,Liguria,EU,South
598,Mexico,Coahuila,LATAM,North
366,Germany,Lower Saxony,EU,Central
1036,United States,Delaware,US,East
313,Egypt,Aswan,Africa,Africa
605,Mexico,Jalisco,LATAM,North
662,Netherlands,South Holland,EU,Central
1089,Venezuela,Anzoátegui,LATAM,South
901,Sweden,Västra Götaland,EU,North
60,Australia,South Australia,APAC,Oceania
1046,United States,Louisiana,US,South
1068,United States,South Carolina,US,South
680,Nicaragua,Estelí,LATAM,Central
594,Mexico,Baja California,LATAM,North
853,South Africa,Eastern Cape,Africa,Africa
961,Turkey,Gaziantep,EMEA,EMEA
1063,United States,Ohio,US,East
349,France,Nord-Pas-de-Calais,EU,Central
290,Dominican Republic,La Romana,LATAM,Caribbean
428,Indonesia,Bali,APAC,Southeast Asia
712,Nigeria,Rivers,Africa,Africa
323,El Salvador,San Salvador,LATAM,Central
63,Australia,Western Australia,APAC,Oceania
283,Denmark,Hovedstaden,EU,North
914,Tanzania,Arusha,Africa,Africa
