product_id,product_name,category,sub_category
7847,"Tenex Lockers, Blue",Office Supplies,Storage
7465,"Acme Trimmer, High Speed",Office Supplies,Supplies
7859,"Tenex Box, Single Width",Office Supplies,Storage
6207,"Enermax Note Cards, Premium",Office Supplies,Paper
1493,"Eldon Light Bulb, Duo Pack",Furniture,Furnishings
6280,"Eaton Computer Printout Paper, 8.5 x 11",Office Supplies,Paper
9589,"Okidata Inkjet, Wireless",Technology,Machines
2376,"Hoover Microwave, White",Office Supplies,Appliances
8934,"Hewlett Wireless Fax, Laser",Technology,Copiers
1768,"Novimex Swivel Stool, Set of Two",Furniture,Chairs
7116,"Tenex Lockers, Industrial",Office Supplies,Storage
2057,"Chromcraft Round Table, Adjustable Height",Furniture,Tables
109,"Dania Corner Shelving, Traditional",Furniture,Bookcases
8624,"Hewlett Fax and Copier, Laser",Technology,Copiers
534,"Hon Rocking Chair, Set of Two",Furniture,Chairs
9922,"Nokia Headset, VoIP",Technology,Phones
4094,"Breville Coffee Grinder, Black",Office Supplies,Appliances
8235,"Belkin Numeric Keypad, Bluetooth",Technology,Accessories
577,"SAFCO Chairmat, Black",Furniture,Chairs
7008,"Smead File Cart, Blue",Office Supplies,Storage
5820,"Avery Color Coded Labels, Laser Printer Compatible",Office Supplies,Labels
4011,"BIC Sketch Pad, Water Color",Office Supplies,Art
6691,"Rogers Folders, Industrial",Office Supplies,Storage
7346,"Stiletto Scissors, Serrated",Office Supplies,Supplies
4127,"Cameo Interoffice Envelope, Set of 50",Office Supplies,Envelopes
4964,"Stockwell Staples, Metal",Office Supplies,Fasteners
2301,"Advantus Rubber Bands, Metal",Office Supplies,Fasteners
176,"Dania Classic Bookcase, Pine",Furniture,Bookcases
8030,"Enermax Keyboard, Bluetooth",Technology,Accessories
4313,"Jiffy Interoffice Envelope, Set of 50",Office Supplies,Envelopes
2986,"Binney & Smith Sketch Pad, Easy-Erase",Office Supplies,Art
7723,"Fiskars Letter Opener, Easy Grip",Office Supplies,Supplies
8832,"Sharp Ink, Laser",Technology,Copiers
4705,"Jiffy Interoffice Envelope, Set of 50",Office Supplies,Envelopes
1000,"SAFCO Chairmat, Black",Furniture,Chairs
8255,"Memorex Mouse, USB",Technology,Accessories
4477,"Kraft Peel and Seal, Recycled",Office Supplies,Envelopes
3097,"Boston Markers, Easy-Erase",Office Supplies,Art
6031,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper
5577,"Harbour Creations File Folder Labels, 5000 Label Set",Office Supplies,Labels
6947,"Eldon Folders, Single Width",Office Supplies,Storage
4082,"Boston Pens, Fluorescent",Office Supplies,Art
3364,"Avery Hole Reinforcements, Durable",Office Supplies,Binders
2733,"Hoover Stove, Black",Office Supplies,Appliances
2958,"Sanford Canvas, Fluorescent",Office Supplies,Art
2901,"Binney & Smith Pencil Sharpener, Water Color",Office Supplies,Art
7094,SAFCO Boltless Steel Shelving,Office Supplies,Storage
1146,"Rubbermaid Photo Frame, Durable",Furniture,Furnishings
5799,Avery 508,Office Supplies,Labels
3896,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders
1153,"Advantus Frame, Durable",Furniture,Furnishings
6825,"Fellowes Box, Industrial",Office Supplies,Storage
6973,"Tenex Trays, Blue",Office Supplies,Storage
4792,"Advantus Staples, Metal",Office Supplies,Fasteners
6460,"Enermax Memo Slips, Recycled",Office Supplies,Paper
9115,"Logitech Flash Drive, Erganomic",Technology,Accessories
4422,"Cameo Manila Envelope, with clear poly window",Office Supplies,Envelopes
3197,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art
926,Global Deluxe High-Back Manager's Chair,Furniture,Chairs
3973,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders
10196,GE 30524EE4,Technology,Phones
4208,"Eldon File Cart, Single Width",Office Supplies,Storage
9185,"Panasonic Phone, Wireless",Technology,Machines
8284,"Logitech Router, Programmable",Technology,Accessories
7305,"Smead Lockers, Industrial",Office Supplies,Storage
9468,"Panasonic Card Printer, White",Technology,Machines
9056,"HP Fax and Copier, Color",Technology,Copiers
10137,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones
7341,"Stanley Sketch Pad, Easy-Erase",Office Supplies,Art
4928,"Accos Thumb Tacks, Assorted Sizes",Office Supplies,Fasteners
73,"Bush Floating Shelf Set, Pine",Furniture,Bookcases
6288,Xerox 225,Office Supplies,Paper
7320,"Stanley Sketch Pad, Fluorescent",Office Supplies,Art
4911,"Stockwell Rubber Bands, Bulk Pack",Office Supplies,Fasteners
3404,"Ibico Index Tab, Durable",Office Supplies,Binders
3085,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art
3223,"BIC Sketch Pad, Fluorescent",Office Supplies,Art
8,"Advantus Stacking Tray, Black",Furniture,Furnishings
4913,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners
6144,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,Paper
5767,"Novimex Shipping Labels, Adjustable",Office Supplies,Labels
3005,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,Art
2828,"Stanley Pens, Blue",Office Supplies,Art
1727,"Ikea Classic Bookcase, Pine",Furniture,Bookcases
9302,"Panasonic Inkjet, White",Technology,Machines
319,"Ikea Classic Bookcase, Metal",Furniture,Bookcases
7058,"Smead Lockers, Single Width",Office Supplies,Storage
1647,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings
3755,"Wilson Jones Binder Covers, Clear",Office Supplies,Binders
2801,"Binney & Smith Sketch Pad, Blue",Office Supplies,Art
3349,"Avery Index Tab, Economy",Office Supplies,Binders
3848,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders
9813,"Motorola Signal Booster, Full Size",Technology,Phones
7958,"Belkin Numeric Keypad, USB",Technology,Accessories
6935,"Fellowes Trays, Blue",Office Supplies,Storage
10054,"Apple Headset, Full Size",Technology,Phones
4795,"Stockwell Push Pins, 12 Pack",Office Supplies,Fasteners
5561,"Smead Removable Labels, Adjustable",Office Supplies,Labels
6459,"Green Bar Memo Slips, Premium",Office Supplies,Paper
3865,"Avery Index Tab, Clear",Office Supplies,Binders
10158,"Nokia Smart Phone, with Caller ID",Technology,Phones
1732,"Ikea Library with Doors, Traditional",Furniture,Bookcases
8552,"Canon Ink, Laser",Technology,Copiers
1026,"Chromcraft Wood Table, Fully Assembled",Furniture,Tables
6722,"SanDisk Message Books, Recycled",Office Supplies,Paper
6697,"Sanford Pencil Sharpener, Fluorescent",Office Supplies,Art
9011,"Epson Phone, Red",Technology,Machines
5360,"Hoover Microwave, Red",Office Supplies,Appliances
8727,"Sharp Wireless Fax, Digital",Technology,Copiers
4183,"Eaton Note Cards, Premium",Office Supplies,Paper
7288,"Fellowes File Cart, Blue",Office Supplies,Storage
4112,"Cameo Mailers, with clear poly window",Office Supplies,Envelopes
7030,"Fellowes Shelving, Wire Frame",Office Supplies,Storage
7718,"Kleencut Ruler, Steel",Office Supplies,Supplies
5583,"Hon File Folder Labels, Alphabetical",Office Supplies,Labels
3743,"Avery Binder Covers, Recycled",Office Supplies,Binders
10270,"StarTech Calculator, Red",Technology,Machines
6501,"Enermax Note Cards, Premium",Office Supplies,Paper
6702,"Sanford Pens, Easy-Erase",Office Supplies,Art
3344,"Avery Binder Covers, Clear",Office Supplies,Binders
2254,"Acco Binder, Durable",Office Supplies,Binders
8049,Memorex Micro Travel Drive 8 GB,Technology,Accessories
5055,"Stockwell Staples, Assorted Sizes",Office Supplies,Fasteners
