order_id,customer_id,product_id,location_id,date_id,sales,profit,quantity,discount,shipping_cost
AG-2011-2040,752,7847,15,20110101,408.0,106.14,2,0.0,35.46
IN-2011-47883,399,7465,57,20110101,120.0,36.036,3,0.1,9.72
HU-2011-1220,49,7859,399,20110101,66.0,29.64,4,0.0,8.17
IT-2011-3647632,276,6207,897,20110101,45.0,-26.055,3,0.5,4.82
IN-2011-47883,399,1493,57,20110101,114.0,37.77,5,0.1,4.7
IN-2011-47883,399,6280,57,20110101,55.0,15.342,2,0.1,1.8
CA-2011-1510,484,9589,170,20110102,314.0,3.12,1,0.0,24.1
IN-2011-79397,430,2376,57,20110103,276.0,110.412,1,0.1,125.32
ID-2011-80230,443,8934,665,20110103,912.0,-319.464,4,0.4,107.1
IZ-2011-4680,466,1768,484,20110103,667.0,253.32,4,0.0,81.26
IN-2011-65159,449,7116,756,20110103,338.0,-122.8005,3,0.45,33.75
IN-2011-65159,449,2057,756,20110103,211.0,-70.3995,1,0.55,21.32
ES-2011-4869686,238,109,1027,20110103,854.0,290.43,7,0.0,12.56
IN-2011-33652,226,8624,584,20110103,193.0,50.13,1,0.0,10.4
ID-2011-80230,443,534,665,20110103,159.0,-95.676,2,0.4,10.07
MX-2011-160234,719,9922,383,20110103,195.0,44.88,4,0.0,8.43
IR-2011-770,352,4094,473,20110103,123.0,42.9,2,0.0,8.41
ID-2011-80230,443,8235,665,20110103,69.0,3.42,2,0.4,8.34
ID-2011-80230,443,577,665,20110103,69.0,-26.412,2,0.4,8.17
ID-2011-12596,149,7008,930,20110103,135.0,-45.9018,2,0.47,7.74
IN-2011-79397,430,5820,57,20110103,36.0,4.743,3,0.1,7.46
IR-2011-7690,557,4011,468,20110103,52.0,7.77,1,0.0,5.91
IR-2011-770,352,6691,473,20110103,62.0,8.7,2,0.0,5.16
TZ-2011-7370,341,7346,915,20110103,81.0,26.76,4,0.0,5.11
IZ-2011-4680,466,4127,484,20110103,47.0,17.07,1,0.0,3.57
IN-2011-65159,449,4964,756,20110103,6.0,0.546,1,0.45,0.8
IR-2011-770,352,2301,473,20110103,17.0,4.17,1,0.0,0.54
MX-2011-111255,661,176,127,20110104,1648.0,609.84,6,0.0,109.13
MX-2011-140641,519,8030,621,20110104,223.0,13.28,4,0.0,42.28
MX-2011-158771,87,4313,254,20110104,186.0,3.6,6,0.0,16.39
ES-2011-4939443,61,2986,354,20110104,140.0,20.88,3,0.0,10.78
MX-2011-111255,661,7723,127,20110104,149.0,28.16,8,0.0,10.38
MX-2011-140641,519,8832,621,20110104,166.0,49.42824,2,0.002,9.54
US-2011-136007,87,4705,115,20110104,74.0,-107.856,6,0.6,7.04
MX-2011-159373,62,1000,263,20110104,38.0,6.88,1,0.0,4.25
MX-2011-159373,62,8255,263,20110104,38.0,2.24,2,0.0,3.94
MX-2011-159373,62,4477,263,20110104,39.0,7.68,3,0.0,3.51
IT-2011-2942451,309,3097,1027,20110104,27.0,-21.9,2,0.5,2.11
CA-2011-103800,200,6031,1071,20110104,16.0,5.5512,2,0.2,1.82
IN-2011-33036,100,5577,538,20110104,27.0,13.68,3,0.0,1.54
IT-2011-2942451,309,6947,1027,20110104,17.0,-1.05,2,0.5,0.9
SU-2011-5190,356,4082,891,20110104,15.0,2.61,1,0.0,0.82
SU-2011-5190,356,3364,891,20110104,6.0,2.1,1,0.0,0.51
MX-2011-109267,362,2733,620,20110105,3029.0,999.36,8,0.0,191.2
ES-2011-3848439,526,2958,354,20110105,207.0,76.56,4,0.0,20.64
ES-2011-3848439,526,2901,354,20110105,90.0,20.52,3,0.0,15.27
CA-2011-112326,613,7094,1041,20110105,273.0,-64.7748,3,0.2,13.59
IN-2011-27681,697,1146,912,20110105,49.0,22.92,1,0.0,5.82
CA-2011-112326,613,5799,1041,20110105,12.0,4.2717,3,0.2,0.99
CA-2011-112326,613,3896,1041,20110105,4.0,-5.487,2,0.8,0.55
ES-2011-5496179,693,1153,343,20110106,324.0,35.64,3,0.0,39.98
IN-2011-29963,114,6825,446,20110106,50.0,6.0084,3,0.17,6.2
ID-2011-41632,644,6973,1108,20110106,90.0,29.2686,2,0.17,3.62
IN-2011-29963,114,4792,446,20110106,41.0,-27.0942,7,0.47,2.63
ID-2011-41632,644,6460,1108,20110106,39.0,11.5893,3,0.17,2.45
AO-2011-4910,308,9115,32,20110106,28.0,12.72,1,0.0,2.0
IN-2011-76107,444,4422,202,20110106,31.0,13.11,1,0.0,1.96
CA-2011-141817,539,3197,1066,20110106,20.0,4.884,3,0.2,1.85
CA-2011-167199,488,926,1045,20110107,2574.0,746.4078,9,0.0,258.99
CA-2011-167199,488,3973,1045,20110107,610.0,274.491,2,0.0,88.07
CA-2011-167199,488,10196,1045,20110107,392.0,113.6742,2,0.0,62.37
MZ-2011-1260,719,4208,647,20110107,256.0,46.02,2,0.0,52.46
ID-2011-58670,491,9185,756,20110107,445.0,-136.71,7,0.25,46.97
ID-2011-58670,491,8284,756,20110107,274.0,-44.838,2,0.45,42.19
ES-2011-5433855,207,7305,353,20110107,716.0,143.16,4,0.1,32.46
ID-2011-58670,491,9468,756,20110107,388.0,25.8075,3,0.25,26.2
LE-2011-9590,324,9056,558,20110107,174.0,71.46,1,0.0,23.84
CA-2011-167199,488,10137,1045,20110107,756.0,204.1092,4,0.0,13.82
MZ-2011-1260,719,7341,647,20110107,45.0,8.49,1,0.0,13.7
ES-2011-5433855,207,4928,353,20110107,33.0,2.25,3,0.0,9.73
ES-2011-5433855,207,73,353,20110107,155.0,36.228,1,0.1,5.72
CA-2011-130813,482,6288,1033,20110107,19.0,9.3312,3,0.0,4.37
AG-2011-7230,28,7320,10,20110107,91.0,14.58,2,0.0,4.36
MX-2011-135629,238,4911,139,20110107,43.0,6.0,4,0.0,3.94
MX-2011-135629,238,3404,139,20110107,19.0,2.4,3,0.0,3.69
CA-2011-106054,343,3085,1039,20110107,13.0,5.2398,3,0.0,3.51
ID-2011-58670,491,3223,756,20110107,27.0,-4.494,1,0.45,3.21
LE-2011-9590,324,8,558,20110107,26.0,7.38,1,0.0,2.88
CA-2011-167199,488,4913,1045,20110107,31.0,0.3112,4,0.0,2.19
CA-2011-167199,488,6144,1045,20110107,7.0,3.0084,1,0.0,1.13
ID-2011-28752,4,5767,845,20110107,18.0,5.46,2,0.0,0.89
CA-2011-167199,488,3005,1045,20110107,5.0,1.4796,2,0.0,0.52
IT-2011-5134922,402,2828,657,20110107,5.0,-0.105,1,0.5,0.28
AO-2011-1670,330,1727,28,20110108,2479.0,49.5,6,0.0,349.87
IN-2011-19330,573,9302,213,20110108,2174.0,260.82,7,0.0,275.52
IT-2011-4546695,200,319,348,20110108,987.0,-1011.636,6,0.6,65.64
MX-2011-121202,159,7058,383,20110108,397.0,182.52,3,0.0,33.67
CA-2011-105417,788,1647,1071,20110108,77.0,-53.7096,3,0.6,6.69
MX-2011-121202,159,3755,383,20110108,50.0,20.3,7,0.0,5.66
IT-2011-4546695,200,2801,348,20110108,116.0,-55.65,5,0.5,3.91
NI-2011-4770,381,3349,705,20110108,5.0,-4.542,2,0.7,0.82
CA-2011-105417,788,3848,1071,20110108,10.0,-18.2525,7,0.8,0.63
ID-2011-20814,247,9813,434,20110109,240.0,-11.6028,2,0.17,34.99
IN-2011-69366,18,7958,1110,20110109,177.0,-156.6792,6,0.47,17.09
ID-2011-46483,670,6935,753,20110109,158.0,-2.9775,5,0.45,10.08
IN-2011-69366,18,10054,1110,20110109,124.0,32.793,2,0.17,7.93
ID-2011-46483,670,4795,753,20110109,52.0,4.5885,7,0.45,5.55
IN-2011-69366,18,5561,1110,20110109,45.0,17.8935,5,0.17,3.31
ID-2011-46483,670,6459,753,20110109,9.0,-1.7175,1,0.45,0.69
IN-2011-69366,18,3865,1110,20110109,10.0,0.0714,2,0.17,0.25
IN-2011-61302,191,10158,59,20110110,2875.0,511.095,5,0.1,665.27
HU-2011-1380,257,1732,399,20110110,363.0,159.87,1,0.0,134.59
HU-2011-1380,257,8552,399,20110110,589.0,276.6,4,0.0,114.15
EG-2011-4260,675,1026,311,20110110,968.0,445.26,2,0.0,80.13
HU-2011-1380,257,6722,399,20110110,142.0,63.9,6,0.0,67.79
HU-2011-1380,257,6697,399,20110110,155.0,54.18,6,0.0,58.32
HU-2011-1380,257,9011,399,20110110,156.0,23.4,2,0.0,52.91
AG-2011-1070,749,5360,15,20110110,309.0,61.71,1,0.0,31.41
US-2011-101091,380,8727,1092,20110110,425.0,-278.79024,3,0.402,26.72
HU-2011-1380,257,4183,399,20110110,53.0,0.0,2,0.0,16.06
IT-2011-3659171,310,7288,1027,20110110,206.0,-41.265,3,0.5,14.65
HU-2011-1380,257,4112,399,20110110,42.0,1.65,1,0.0,13.08
MX-2011-140697,596,7030,608,20110110,114.0,56.88,3,0.0,8.93
IN-2011-13065,591,7718,191,20110110,26.0,5.4,2,0.0,5.86
IN-2011-61302,191,5583,59,20110110,30.0,12.096,4,0.1,5.54
IN-2011-13065,591,3743,191,20110110,34.0,16.11,3,0.0,5.26
HU-2011-1380,257,10270,399,20110110,37.0,5.55,1,0.0,4.32
IN-2011-61302,191,6501,59,20110110,162.0,53.694,6,0.1,3.02
HU-2011-1380,257,6702,399,20110110,11.0,2.61,1,0.0,2.59
HU-2011-1380,257,3344,399,20110110,11.0,2.4,1,0.0,2.03
SF-2011-6400,628,2254,859,20110110,17.0,4.65,1,0.0,1.29
CA-2011-135405,522,8049,1071,20110110,31.0,9.75,3,0.2,1.13
ID-2011-13660,107,5055,929,20110110,12.0,-5.6826,3,0.47,1.04
MX-2011-140697,596,7736,608,20110110,16.0,1.76,1,0.0,0.89
CA-2011-135405,522,3269,1071,20110110,9.0,1.168,2,0.2,0.21
ES-2011-5158390,655,941,1027,20110111,1384.0,13.77,3,0.0,178.98
US-2011-163874,611,7186,608,20110111,1323.0,238.0,10,0.0,103.84
US-2011-163874,611,247,608,20110111,452.0,-107.3,5,0.2,57.75
IN-2011-39308,209,9943,432,20110111,554.0,40.0536,4,0.17,42.43
IN-2011-79761,712,8736,753,20110111,697.0,-343.098,3,0.35,40.16
US-2011-163874,611,9937,608,20110111,245.0,88.0,5,0.0,39.11
IN-2011-39308,209,3211,432,20110111,334.0,13.4703,9,0.27,23.56
ES-2011-4359424,238,1998,885,20110111,268.0,-341.736,2,0.6,21.49
ES-2011-5158390,655,2993,1027,20110111,103.0,19.5,2,0.0,20.54
IN-2011-39308,209,1244,432,20110111,188.0,2.4735,5,0.27,15.77
IN-2011-29872,231,1283,410,20110111,142.0,52.38,3,0.0,15.62
TU-2011-800,164,1865,951,20110111,157.0,-117.72,2,0.6,12.45
ID-2011-82589,736,4259,674,20110111,115.0,-47.832,4,0.4,10.52
ES-2011-1466305,539,7166,75,20110111,97.0,31.02,2,0.0,7.99
IN-2011-79761,712,1127,753,20110111,78.0,23.775,2,0.25,7.09
US-2011-163874,611,2400,608,20110111,140.0,32.1,3,0.0,6.47
ES-2011-1466305,539,3302,75,20110111,55.0,9.87,1,0.0,5.83
CA-2011-149020,52,1227,1074,20110111,52.0,21.2954,1,0.0,3.52
ES-2011-4359424,238,5751,885,20110111,40.0,5.55,5,0.0,2.57
ES-2011-1138719,264,3627,503,20110111,22.0,6.75,3,0.0,1.09
IN-2011-39308,209,3934,432,20110111,5.0,-0.0147,1,0.17,0.3
CA-2011-149020,52,5893,1074,20110111,3.0,1.3583,1,0.0,0.22
MX-2011-141530,747,8433,598,20110112,495.0,178.2,3,0.0,54.55
MX-2011-141530,747,8844,598,20110112,385.0,68.64852,3,0.002,38.19
ES-2011-1460199,657,401,366,20110112,552.0,165.36,5,0.1,35.98
ES-2011-1460199,657,9346,366,20110112,522.0,20.88,2,0.0,28.92
ES-2011-4976144,51,585,1027,20110112,290.0,69.6,5,0.0,18.63
ES-2011-5040255,607,6071,1027,20110112,34.0,-6.15,2,0.5,7.31
ES-2011-1460199,657,2993,366,20110112,257.0,48.75,5,0.0,7.28
CA-2011-130092,691,1097,1036,20110112,10.0,3.0814,2,0.0,2.69
ES-2011-1460199,657,3396,366,20110112,17.0,6.18,2,0.0,2.08
NI-2011-1670,696,5197,705,20110112,15.0,-22.458,2,0.7,1.27
NI-2011-1670,696,4011,705,20110112,16.0,-28.518,1,0.7,1.27
NI-2011-1670,696,3342,705,20110112,13.0,-21.648,4,0.7,0.62
NI-2011-1670,696,5453,705,20110112,5.0,-10.326,1,0.7,0.43
NI-2011-1670,696,2312,705,20110112,3.0,-6.483,1,0.7,0.25
NI-2011-1670,696,5207,705,20110112,17.0,-26.649,1,0.7,0.24
EG-2011-4270,648,6785,313,20110113,794.0,134.88,4,0.0,76.6
EG-2011-4270,648,9059,313,20110113,1200.0,479.88,4,0.0,55.62
MX-2011-150567,80,9162,605,20110113,201.0,100.62,1,0.0,31.78
IT-2011-5340302,312,7063,662,20110113,198.0,-130.98,2,0.5,14.53
EG-2011-4270,648,5192,313,20110113,38.0,17.22,2,0.0,2.66
US-2011-105760,345,7567,1089,20110113,26.0,-8.0,5,0.4,2.2
IT-2011-5951216,720,3331,901,20110113,31.0,-13.65,5,0.5,2.16
IT-2011-5340302,312,6293,662,20110113,50.0,-37.86,2,0.5,1.51
IT-2011-5340302,312,5718,662,20110113,22.0,-12.3,4,0.5,1.29
IN-2011-38349,123,5756,60,20110113,16.0,0.33,2,0.1,0.72
IT-2011-5340302,312,3523,662,20110113,9.0,-3.465,3,0.5,0.43
CA-2011-157147,107,6801,1033,20110114,1326.0,238.653,5,0.0,187.65
CA-2011-162775,150,6795,1046,20110114,573.0,34.3548,6,0.0,146.29
CA-2011-162775,150,8263,1046,20110114,647.0,258.696,6,0.0,141.35
ES-2011-1043483,695,9334,75,20110114,486.0,77.67,3,0.0,53.02
CA-2011-109232,558,552,1068,20110114,546.0,87.3504,6,0.0,52.32
ES-2011-1043483,695,10055,75,20110114,440.0,65.88,6,0.0,49.92
CA-2011-157147,107,314,1033,20110114,334.0,3.9294,3,0.15,40.44
ES-2011-1043483,695,6229,75,20110114,224.0,102.96,11,0.0,30.34
MX-2011-135979,73,151,680,20110114,393.0,180.96,3,0.0,27.67
MX-2011-168599,737,4693,594,20110114,106.0,18.96,4,0.0,26.23
SF-2011-7680,714,6702,853,20110114,136.0,31.32,12,0.0,23.89
CA-2011-162775,150,4360,1046,20110114,51.0,25.47,3,0.0,12.66
MX-2011-135979,73,6564,680,20110114,246.0,7.2,12,0.0,11.88
TU-2011-4040,115,5191,961,20110114,110.0,-54.972,2,0.6,11.53
ID-2011-16453,553,1223,756,20110114,99.0,-23.7375,3,0.25,9.71
ID-2011-16453,553,7213,756,20110114,80.0,5.742,3,0.45,9.43
MX-2011-135979,73,6932,680,20110114,109.0,28.38,3,0.0,6.11
TU-2011-4040,115,6785,961,20110114,79.0,-85.332,1,0.6,5.84
TU-2011-4040,115,2291,961,20110114,74.0,-70.32,4,0.6,4.48
MX-2011-135979,73,3412,680,20110114,66.0,9.12,8,0.0,3.61
CA-2011-157147,107,3200,1033,20110114,20.0,6.567,5,0.0,3.03
CA-2011-162775,150,4398,1046,20110114,11.0,5.3392,2,0.0,2.88
CA-2011-118192,528,6400,1063,20110114,37.0,13.0928,7,0.2,1.46
CA-2011-162775,150,3914,1046,20110114,6.0,2.7072,3,0.0,0.85
TU-2011-4040,115,7322,961,20110114,79.0,-87.168,4,0.6,0.43
CA-2011-118192,528,3823,1063,20110114,3.0,-2.5212,2,0.7,0.27
ES-2011-3661686,234,8852,366,20110115,527.0,10.5,2,0.0,92.1
ES-2011-1374122,180,322,349,20110115,652.0,7.2,2,0.1,88.52
MX-2011-129420,653,856,290,20110115,265.0,23.22,3,0.2,43.56
ID-2011-38832,540,2913,428,20110115,150.0,-49.3488,4,0.27,21.15
ID-2011-38832,540,2820,428,20110115,51.0,-0.0126,3,0.27,21.13
ES-2011-3661686,234,2457,366,20110115,249.0,2.76,1,0.1,15.08
CA-2011-149524,106,346,1066,20110115,62.0,-53.2856,4,0.5,10.96
ES-2011-3661686,234,6268,366,20110115,170.0,25.35,5,0.0,8.42
ES-2011-3661686,234,7772,366,20110115,55.0,2.16,2,0.0,4.12
NI-2011-2280,539,1666,712,20110115,45.0,-56.856,1,0.7,3.43
NI-2011-2280,539,2312,712,20110115,19.0,-38.898,6,0.7,1.46
NI-2011-2280,539,6730,712,20110115,15.0,-14.754,2,0.7,1.02
ES-2011-3661686,234,5501,366,20110115,21.0,7.44,2,0.0,0.76
CA-2011-103366,266,8314,1039,20110116,150.0,65.978,5,0.0,45.24
MX-2011-145765,13,8844,323,20110117,1412.0,251.71124,11,0.002,159.52
ES-2011-3305419,251,2949,343,20110117,300.0,50.82,11,0.0,38.7
CA-2011-115791,221,1243,1066,20110117,127.0,28.5984,6,0.2,36.4
CA-2011-115791,221,10151,1066,20110117,124.0,-31.05,3,0.4,26.12
CA-2011-115791,221,5604,1066,20110117,30.0,10.1493,3,0.2,10.17
ES-2011-3305419,251,6975,343,20110117,84.0,33.675,5,0.1,7.33
ES-2011-3305419,251,6898,343,20110117,95.0,42.24,4,0.1,6.56
ES-2011-3305419,251,7189,343,20110117,46.0,18.846,3,0.1,6.46
ID-2011-80538,789,3572,63,20110117,37.0,-9.288,4,0.4,5.48
CA-2011-115791,221,3591,1066,20110117,19.0,-13.6312,2,0.7,5.26
IN-2011-78501,735,3274,57,20110117,19.0,5.136,2,0.1,3.96
IT-2011-1373680,699,5638,283,20110117,17.0,-7.515,3,0.5,0.4
TZ-2011-5130,145,5211,914,20110118,746.0,132.588,4,0.1,132.29
ES-2011-4174897,524,4820,887,20110118,108.0,33.36,8,0.0,18.36
MX-2011-115644,786,4943,117,20110118,38.0,6.12,3,0.0,4.7
ES-2011-4825230,629,3947,284,20110118,26.0,-10.755,1,0.5,2.53
SA-2011-7780,86,4145,831,20110118,14.0,2.97,1,0.0,2.48
ZA-2011-9910,588,4040,1118,20110119,418.0,95.76,14,0.0,143.67
ES-2011-3666932,504,3916,508,20110119,145.0,43.56,3,0.0,58.25
MX-2011-139199,20,9254,680,20110119,716.0,221.92,4,0.0,36.29
MX-2011-139199,20,429,680,20110119,226.0,33.96,2,0.0,25.81
IN-2011-45020,602,8941,651,20110119,278.0,-106.083,3,0.37,21.22
ES-2011-3666932,504,6898,508,20110119,48.0,7.92,3,0.4,15.23
ZA-2011-9910,588,8488,1118,20110119,41.0,6.12,1,0.0,12.68
CA-2011-123477,213,2417,1065,20110119,65.0,6.4864,4,0.2,5.04
MX-2011-139199,20,8188,680,20110119,53.0,16.32,2,0.0,4.1
ES-2011-1690587,40,4625,504,20110119,48.0,21.24,3,0.0,3.54
CA-2011-8390,527,7369,167,20110119,16.0,5.7,1,0.0,1.4
AO-2011-8430,533,501,32,20110120,825.0,338.34,2,0.0,88.97
MX-2011-131618,730,2580,603,20110120,372.0,81.88,2,0.0,82.67
CA-2011-146591,756,231,1031,20110120,181.0,-320.597,5,0.7,29.68
IR-2011-9150,338,1790,468,20110120,141.0,57.75,1,0.0,20.93
US-2011-153591,17,489,600,20110120,196.0,-34.252,1,0.2,17.08
CA-2011-146591,756,6101,1031,20110120,56.0,19.6224,4,0.2,14.49
AO-2011-8430,533,6764,32,20110120,49.0,15.51,1,0.0,11.64
CA-2011-146591,756,4446,1031,20110120,109.0,36.693,5,0.2,10.39
ES-2011-1122594,199,3053,343,20110120,58.0,7.56,2,0.0,8.77
AO-2011-8430,533,4199,32,20110120,48.0,15.84,1,0.0,7.92
NI-2011-8880,622,5259,702,20110120,37.0,-73.68,4,0.7,6.08
CA-2011-146591,756,3842,1031,20110120,32.0,-23.716,10,0.7,6.03
NI-2011-8880,622,5201,702,20110120,24.0,-42.624,4,0.7,3.74
RS-2011-7010,660,5960,810,20110120,10.0,4.83,1,0.0,2.05
RS-2011-7010,660,5966,810,20110120,11.0,4.08,1,0.0,1.48
IN-2011-43585,755,1244,63,20110120,139.0,27.693,3,0.1,1.23
MX-2011-146584,336,1971,683,20110121,2797.0,-0.072,6,0.2,320.38
MG-2011-9660,665,5204,626,20110121,1244.0,211.5,6,0.0,88.66
US-2011-147627,336,749,1032,20110121,1068.0,224.2674,3,0.0,85.72
US-2011-147627,336,9728,1032,20110121,700.0,181.9818,7,0.0,31.52
MX-2011-146584,336,9724,683,20110121,405.0,121.44,4,0.0,26.73
MG-2011-9660,665,1797,626,20110121,277.0,55.38,2,0.0,24.75
CA-2011-167927,791,1436,1050,20110121,273.0,30.0234,3,0.0,20.68
MX-2011-146584,336,10074,683,20110121,182.0,16.4,2,0.0,19.1
ES-2011-3229667,664,8364,368,20110121,495.0,232.8,2,0.0,18.43
CA-2011-167927,791,2562,1050,20110121,248.0,93.5816,4,0.1,14.53
MX-2011-146584,336,7793,683,20110121,107.0,46.1,5,0.0,8.92
CA-2011-167927,791,7124,1050,20110121,67.0,15.9792,2,0.0,8.4
MG-2011-9660,665,5218,626,20110121,85.0,12.66,2,0.0,6.06
MX-2011-146584,336,3517,683,20110121,61.0,28.64,8,0.0,5.22
CA-2011-167927,791,3297,1050,20110121,44.0,12.7368,3,0.0,4.88
IR-2011-3900,203,6673,468,20110121,61.0,18.96,1,0.0,4.61
US-2011-147774,552,3775,1070,20110121,67.0,-51.5154,1,0.7,3.0
US-2011-147627,336,4364,1032,20110121,23.0,10.9698,3,0.0,2.6
US-2011-147627,336,1462,1032,20110121,39.0,11.58,4,0.0,2.57
ID-2011-63017,602,3161,929,20110121,52.0,-24.3804,2,0.47,2.02
CA-2011-167927,791,3937,1050,20110121,30.0,13.365,5,0.0,1.98
MG-2011-9660,665,4107,626,20110121,27.0,2.43,1,0.0,1.58
MX-2011-146584,336,3678,683,20110121,18.0,1.56,2,0.0,1.29
US-2011-147627,336,3080,1032,20110121,23.0,6.6584,7,0.0,1.22
CA-2011-167927,791,3470,1050,20110121,19.0,8.9535,5,0.0,1.21
CA-2011-167927,791,6876,1050,20110121,14.0,4.0542,1,0.0,1.14
CA-2011-148614,499,6391,1033,20110121,19.0,9.2928,2,0.0,0.94
CA-2011-167927,791,1370,1050,20110121,15.0,4.8609,3,0.0,0.71
CA-2011-148614,499,1462,1033,20110121,19.0,5.79,2,0.0,0.64
US-2011-147627,336,3241,1032,20110121,7.0,1.7901,3,0.0,0.47
ES-2011-5497239,598,7121,510,20110122,889.0,59.22,7,0.4,96.45
ES-2011-5497239,598,394,510,20110122,825.0,338.34,2,0.0,77.08
ES-2011-3906248,486,6833,91,20110122,666.0,119.85,5,0.0,73.27
ID-2011-86950,725,2889,59,20110122,60.0,-33.876,6,0.4,27.43
KE-2011-7940,355,6754,551,20110122,95.0,12.36,2,0.0,21.6
ES-2011-1550182,169,3461,340,20110122,202.0,22.2,4,0.0,18.96
MX-2011-143238,126,321,324,20110122,259.0,101.16,2,0.0,11.91
MX-2011-165526,531,850,217,20110122,219.0,0.0,4,0.0,10.23
MX-2011-165526,531,8251,217,20110122,109.0,27.2,2,0.0,9.0
ES-2011-5497239,598,2940,510,20110122,54.0,12.39,1,0.0,5.13
ES-2011-1550182,169,10174,340,20110122,65.0,24.3225,1,0.15,4.38
CA-2011-110422,760,1328,1038,20110122,25.0,4.1028,3,0.2,3.64
TU-2011-9560,105,16,951,20110122,77.0,-104.688,4,0.6,2.36
ID-2011-86950,725,5077,59,20110122,6.0,-3.912,1,0.4,1.77
ES-2011-3906248,486,3983,91,20110122,12.0,3.12,2,0.0,0.27
MX-2011-116393,451,203,683,20110123,1102.0,198.32,4,0.0,146.12
MX-2011-116393,451,660,683,20110123,920.0,395.76,3,0.0,45.77
MX-2011-116393,451,7645,683,20110123,48.0,15.8,2,0.0,5.55
MX-2011-116393,451,5657,683,20110123,26.0,9.78,3,0.0,3.61
MX-2011-116393,451,6201,683,20110123,24.0,1.64,2,0.0,3.27
SA-2011-7370,175,5990,832,20110123,34.0,12.36,2,0.0,1.91
SA-2011-7370,175,5388,832,20110123,9.0,1.59,1,0.0,0.58
EN-2011-70,40,8569,328,20110124,1303.0,286.56,2,0.0,234.73
EN-2011-70,40,4103,328,20110124,561.0,61.68,1,0.0,133.57
ES-2011-3060159,156,8919,368,20110124,591.0,53.16,2,0.0,66.1
IT-2011-2413417,700,982,500,20110124,73.0,-56.562,1,0.6,29.86
IN-2011-85459,372,4587,678,20110124,420.0,147.0,14,0.0,20.03
IN-2011-85459,372,1191,678,20110124,220.0,8.76,2,0.0,16.92
EN-2011-70,40,1693,328,20110124,133.0,63.87,1,0.0,15.16
IT-2011-2413417,700,862,500,20110124,69.0,-95.202,3,0.6,12.7
IN-2011-85459,372,2830,678,20110124,139.0,65.28,8,0.0,11.94
IT-2011-2413417,700,6524,500,20110124,55.0,2.7,3,0.0,11.16
IN-2011-20737,459,8070,58,20110124,111.0,8.568,3,0.1,9.92
IT-2011-2413417,700,5125,500,20110124,41.0,2.88,4,0.0,5.24
IT-2011-2413417,700,5869,500,20110124,54.0,7.5,5,0.0,4.72
CA-2011-102645,337,6256,1056,20110124,40.0,19.2384,6,0.0,4.31
IN-2011-10552,162,5907,414,20110124,59.0,27.75,5,0.0,4.27
MA-2011-3960,311,3368,575,20110124,42.0,9.18,6,0.0,3.57
ES-2011-5158376,396,3147,508,20110124,28.0,4.14,1,0.0,3.33
IN-2011-64557,548,3748,448,20110124,12.0,4.2273,3,0.17,1.2
CA-2011-146997,707,5038,1042,20110124,6.0,0.0,3,0.0,0.95
TU-2011-8930,350,5987,940,20110124,15.0,-3.84,2,0.6,0.94
ES-2011-3060159,156,3762,368,20110124,11.0,4.11,1,0.0,0.62
ES-2011-3104322,287,3013,352,20110125,445.0,71.01,9,0.0,33.54
NI-2011-7750,295,9612,704,20110125,148.0,-182.178,6,0.7,18.61
ES-2011-4880899,10,2948,343,20110125,178.0,58.59,7,0.0,16.94
ES-2011-3746760,281,3546,368,20110125,133.0,3.9,10,0.0,8.94
